roll,name,email,enrolled,exam1,exam2,exam3,exam4
1,Arjun Patel,arjun.patel1@outlook.com,2026-03-12,66,63,52,48
2,Kavya Shah,kavya.shah2@outlook.com,2026-04-19,39,38,46,62
3,Neel Trivedi,neel.trivedi3@outlook.com,2026-01-07,60,88,63,92
4,Meera Desai,meera.desai4@gmail.com,2026-02-10,89,78,70,54
5,Karan Joshi,karan.joshi5@gmail.com,2026-01-24,83,47,80,79
6,Nisha Desai,nisha.desai6@gmail.com,2026-04-28,50,83,45,72
7,Nisha Joshi,nisha.joshi7@outlook.com,2026-02-19,43,40,64,72
8,Aditya Choksi,aditya.choksi8@gmail.com,2026-04-08,70,93,81,55
9,Diya Joshi,diya.joshi9@gmail.com,2026-03-10,44,56,66,55
10,Riya Modi,riya.modi10@yahoo.com,2026-05-23,63,76,42,64
11,Vivaan Joshi,vivaan.joshi11@yahoo.com,2026-03-10,43,62,75,62
12,Aditi Modi,aditi.modi12@outlook.com,2026-04-28,53,68,52,66
13,Kavya Trivedi,kavya.trivedi13@yahoo.com,2026-05-30,89,86,81,63
14,Rohan Trivedi,rohan.trivedi14@yahoo.com,2026-01-24,41,49,54,55
15,Priya Rao,priya.rao15@gmail.com,2026-04-09,83,94,67,36
16,Arjun Trivedi,arjun.trivedi16@yahoo.com,2026-03-29,49,72,90,55
17,Riya Patel,riya.patel17@outlook.com,2026-03-09,99,57,99,48
18,Dev Trivedi,dev.trivedi18@outlook.com,2026-02-20,54,82,55,35
19,Nisha Joshi,nisha.joshi19@yahoo.com,2026-01-05,49,81,74,65
20,Vivaan Choksi,vivaan.choksi20@outlook.com,2026-01-21,45,97,43,51
21,Rohan Parikh,rohan.parikh21@outlook.com,2026-02-12,68,89,62,60
22,Dev Modi,dev.modi22@outlook.com,2026-04-06,91,92,50,66
23,Neel Shah,neel.shah23@yahoo.com,2026-01-06,64,63,35,44
24,Vivaan Choksi,vivaan.choksi24@gmail.com,2026-01-09,77,44,100,65
25,Yash Parikh,yash.parikh25@gmail.com,2026-05-19,51,95,66,95
26,Priya Choksi,priya.choksi26@gmail.com,2026-01-25,90,80,89,87
27,Riya Patel,riya.patel27@outlook.com,2026-01-26,42,86,78,48
28,Neel Choksi,neel.choksi28@gmail.com,2026-05-18,92,52,89,58
29,Yash Parikh,yash.parikh29@gmail.com,2026-01-20,91,47,41,36
30,Aditya Choksi,aditya.choksi30@gmail.com,2026-04-15,97,,62,86
31,Vivaan Mehta,vivaan.mehta31@yahoo.com,2026-01-01,84,68,93,71
32,Priya Trivedi,priya.trivedi32@outlook.com,2026-05-05,54,59,72,62
33,Vivaan Rao,vivaan.rao33@outlook.com,2026-05-19,42,75,42,41
34,Meera Parikh,meera.parikh34@outlook.com,2026-05-16,55,42,100,45
35,Rahul Shah,rahul.shah35@outlook.com,2026-01-18,65,86,50,66
36,Meera Rao,meera.rao36@gmail.com,2026-01-21,88,75,68,61
37,Ananya Choksi,ananya.choksi37@yahoo.com,2026-04-12,51,73,93,75
38,Aditya Patel,aditya.patel38@yahoo.com,2026-05-25,47,44,62,99
39,Yash Mehta,yash.mehta39@yahoo.com,2026-01-18,66,82,71,55
40,Riya Trivedi,riya.trivedi40@gmail,2026-03-19,36,73,48,52
41,Yash Shah,yash.shah41@gmail.com,2026-05-22,54,69,71,61
42,Ananya Choksi,ananya.choksi42@outlook.com,2026-03-09,99,97,67,41
43,Aditya Modi,aditya.modi43@yahoo.com,2026-01-12,35,77,51,68
44,Rahul Parikh,rahul.parikh44@outlook.com,2026-04-20,36,49,44,54
45,Kavya Patel,kavya.patel45@yahoo.com,2026-05-30,53,90,51,40
46,Dev Joshi,dev.joshi46@gmail.com,2026-04-02,61,66,48,80
47,Kavya Modi,kavya.modi47@outlook.com,2026-02-09,65,55,57,87
48,Aarav Mehta,aarav.mehta48@outlook.com,2026-03-27,87,66,69,55
49,Arjun Modi,arjun.modi49@gmail.com,2026-05-01,63,60,93,79
50,Dev Choksi,dev.choksi50@gmail.com,2026-01-07,59,86,77,70
51,Aditya Desai,aditya.desai51@yahoo.com,2026-05-11,86,77,38,49
52,Yash Mehta,yash.mehta52@outlook.com,2026-03-09,39,48,90,79
53,Ananya Modi,ananya.modi53@outlook.com,2026-05-11,49,84,59,67
54,Vivaan Modi,vivaan.modi54@gmail.com,2026-05-14,60,81,90,43
55,Ananya Rao,ananya.rao55@yahoo.com,2026-02-01,73,99,74,87
56,Ananya Modi,ananya.modi56@outlook.com,2026-03-17,51,59,88,83
57,Rahul Rao,rahul.rao57@outlook.com,2026-03-19,86,35,73,71
58,Karan Modi,karan.modi58@outlook.com,2026-03-24,94,91,91,62
59,Sneha Parikh,sneha.parikh59@outlook.com,2026-02-13,45,71,100,77
60,Aditya Choksi,aditya.choksi60@outlook.com,2026-03-21,63,60,53,38
61,Vivaan Choksi,vivaan.choksi61@yahoo.com,2026-01-19,93,88,59,84
62,Aditi Modi,aditi.modi62@gmail.com,2026-02-07,35,48,89,63
63,Rahul Trivedi,rahul.trivedi63@yahoo.com,2026-01-13,66,50,93,52
64,Riya Trivedi,riya.trivedi64@outlook.com,2026-03-23,91,99,89,92
65,Rahul Parikh,rahul.parikh65@yahoo.com,2026-03-08,66,70,97,65
66,Yash Parikh,yash.parikh66@gmail.com,2026-03-15,65,69,77,75
67,Kavya Shah,kavya.shah67@gmail.com,2026-02-08,64,84,54,62
68,Aditya Modi,aditya.modi68@yahoo.com,2026-03-26,94,88,42,61
69,Priya Modi,priya.modi69@outlook.com,2026-01-06,83,96,35,80
70,Dev Modi,dev.modi70@yahoo.com,2026-05-18,63,97,63,69
71,Priya Parikh,priya.parikh71@gmail.com,2026-04-10,78,86,56,94
72,Rohan Rao,rohan.rao72@outlook.com,2026-01-07,85,38,45,89
73,Rohan Parikh,rohan.parikh73@gmail.com,2026-01-13,68,83,76,62
74,Riya Joshi,riya.joshi74@yahoo.com,2026-04-08,70,88,67,45
75,Aditi Patel,aditi.patel75@outlook.com,2026-05-19,,79,63,43
76,Vivaan Patel,vivaan.patel76@gmail.com,2026-02-21,37,54,65,51
77,Aditi Shah,aditi.shah77@outlook.com,2026-02-25,94,67,82,56
78,Nisha Rao,nisha.rao78@outlook.com,2026-01-30,55,74,48,38
79,Dev Rao,dev.rao79@outlook.com,2026-04-07,85,60,44,66
80,Arjun Desai,arjun.desai80@outlook.com,2026-01-31,40,79,89,82
81,Aditya Trivedi,aditya.trivedi81@outlook.com,2026-03-29,36,88,97,48
82,Priya Joshi,priya.joshi82@outlook.com,2026-04-28,54,90,57,69
83,Nisha Trivedi,nisha.trivedi83@yahoo.com,2026-04-30,90,69,76,66
84,Aditya Desai,aditya.desai84@yahoo.com,2026-03-04,94,83,78,38
85,Aditi Joshi,aditi.joshi85@gmail.com,2026-05-05,62,80,68,78
86,Yash Rao,yash.rao86@outlook.com,2026-03-12,36,59,45,65
87,Priya Parikh,priya.parikh87@outlook.com,2026-03-03,95,97,92,37
88,Aditya Desai,aditya.desai88@gmail.com,2026-04-14,66,74,82,95
89,Kavya Trivedi,kavya.trivedi89@yahoo.com,2026-04-19,77,80,93,69
90,Dev Desai,dev.desai90@gmail.com,2026-01-31,59,75,50,58
91,Karan Choksi,karan.choksi91@outlook.com,2026-05-04,70,71,47,59
92,Dev Choksi,dev.choksi92@yahoo.com,2026-02-15,73,36,51,70
93,Vivaan Patel,vivaan.patel93@outlook.com,2026-03-16,51,97,48,36
94,Meera Desai,meera.desai94@yahoo.com,2026-05-03,91,78,58,41
95,Yash Parikh,yash.parikh95@gmail.com,2026-01-17,86,97,44,41
96,Rohan Mehta,rohan.mehta96@outlook.com,2026-03-19,45,66,50,88
97,Nisha Rao,nisha.rao97@outlook.com,2026-02-27,83,92,91,73
98,Meera Modi,meera.modi98@yahoo.com,2026-05-26,42,47,61,62
99,Yash Shah,yash.shah99@gmail.com,2026-03-03,57,44,55,35
100,Priya Parikh,priya.parikh100@outlook.com,2026-05-01,72,39,64,71
101,Dev Parikh,dev.parikh101@gmail.com,2026-03-01,68,60,89,49
102,Kavya Choksi,kavya.choksi102@outlook.com,2026-02-08,69,53,44,42
103,Rahul Desai,rahul.desai103@outlook.com,2026-05-26,71,91,50,94
104,Dev Modi,dev.modi104@yahoo.com,2026-05-09,98,91,45,40
105,Priya Joshi,priya.joshi105@outlook.com,2026-03-06,38,46,64,37
106,Yash Rao,yash.rao106@gmail.com,2026-02-14,95,91,70,58
107,Meera Modi,meera.modi107@outlook.com,2026-05-06,46,95,79,87
108,Ananya Joshi,ananya.joshi108@outlook.com,2026-01-27,55,77,87,98
109,Dev Modi,dev.modi109@outlook.com,2026-01-10,93,46,75,67
110,Ananya Shah,ananya.shah110@yahoo.com,2026-05-12,35,94,87,41
111,Karan Trivedi,karan.trivedi111@yahoo.com,2026-05-08,91,41,61,69
112,Kavya Mehta,kavya.mehta112@yahoo.com,2026-04-23,97,50,38,65
113,Rahul Desai,rahul.desai113@outlook.com,2026-01-04,87,46,63,49
114,Riya Shah,riya.shah114@outlook.com,2026-02-09,98,72,100,69
115,Priya Parikh,priya.parikh115@yahoo.com,2026-03-04,93,53,84,59
116,Nisha Trivedi,nisha.trivedi116@outlook.com,2026-02-04,43,70,88,78
117,Sneha Desai,sneha.desai117@gmail.com,2026-03-14,73,97,54,92
118,Kavya Parikh,kavya.parikh118@yahoo.com,2026-03-27,83,93,76,59
119,Neel Rao,neel.rao119@yahoo.com,2026-03-01,87,40,75,95
120,Isha Modi,isha.modi120gmail.com,2026-02-08,98,39,51,99
121,Meera Joshi,meera.joshi121@gmail.com,2026-04-23,47,93,36,53
122,Priya Mehta,priya.mehta122@gmail.com,2026-05-01,68,78,85,45
123,Ananya Trivedi,ananya.trivedi123@yahoo.com,2026-03-23,97,39,43,65
124,Dev Choksi,dev.choksi124@outlook.com,2026-01-24,90,47,47,91
125,Rahul Desai,rahul.desai125@gmail.com,2026-01-12,76,42,72,80
126,Diya Modi,diya.modi126@gmail.com,2026-03-04,87,58,56,57
127,Aditya Rao,aditya.rao127@yahoo.com,2026-03-03,98,53,64,94
128,Yash Parikh,yash.parikh128@yahoo.com,2026-01-03,94,71,55,44
129,Riya Joshi,riya.joshi129@outlook.com,2026-03-18,89,67,93,73
130,Karan Modi,karan.modi130@yahoo.com,2026-01-28,65,83,80,72
131,Dev Patel,dev.patel131@outlook.com,2026-04-12,70,36,41,98
132,Dev Choksi,dev.choksi132@outlook.com,2026-04-01,63,59,67,52
133,Arjun Patel,arjun.patel133@yahoo.com,2026-04-23,39,81,51,46
134,Dev Joshi,dev.joshi134@outlook.com,2026-04-17,57,60,51,81
135,Sneha Trivedi,sneha.trivedi135@yahoo.com,2026-02-12,67,96,72,78
136,Arjun Parikh,arjun.parikh136@gmail.com,2026-02-06,63,85,81,46
137,Isha Patel,isha.patel137@yahoo.com,2026-05-18,50,93,82,68
138,Meera Modi,meera.modi138@outlook.com,2026-04-06,48,64,95,38
139,Nisha Trivedi,nisha.trivedi139@yahoo.com,2026-02-26,43,94,73,87
140,Arjun Mehta,arjun.mehta140@gmail.com,2026-01-10,73,98,,47
141,Neel Trivedi,neel.trivedi141@gmail.com,2026-04-10,93,82,88,54
142,Priya Shah,priya.shah142@yahoo.com,2026-04-15,70,39,82,62
143,Riya Parikh,riya.parikh143@gmail.com,2026-04-03,47,82,80,42
144,Isha Desai,isha.desai144@gmail.com,2026-02-01,93,46,62,37
145,Vivaan Joshi,vivaan.joshi145@gmail.com,2026-02-02,61,43,61,62
146,Neel Joshi,neel.joshi146@gmail.com,2026-01-01,70,53,51,67
147,Rahul Shah,rahul.shah147@outlook.com,2026-01-07,51,36,80,65
148,Meera Joshi,meera.joshi148@gmail.com,2026-02-14,68,41,51,88
149,Sneha Shah,sneha.shah149@outlook.com,2026-01-17,95,92,81,100
150,Meera Shah,meera.shah150@yahoo.com,2026-05-09,63,40,73,93
151,Aarav Patel,aarav.patel151@yahoo.com,2026-04-13,89,48,97,91
152,Aditya Shah,aditya.shah152@yahoo.com,2026-02-07,43,51,70,76
153,Isha Rao,isha.rao153@outlook.com,2026-03-17,93,99,90,47
154,Arjun Trivedi,arjun.trivedi154@outlook.com,2026-02-25,90,92,64,87
155,Ananya Parikh,ananya.parikh155@yahoo.com,2026-04-17,47,75,89,75
156,Yash Joshi,yash.joshi156@gmail.com,2026-05-02,43,46,45,46
157,Priya Shah,priya.shah157@outlook.com,2026-04-06,51,42,77,50
158,Priya Joshi,priya.joshi158@outlook.com,2026-04-19,41,71,74,80
159,Arjun Rao,arjun.rao159@outlook.com,2026-02-24,54,96,63,48
160,Diya Trivedi,diya.trivedi160@yahoo.com,2026-01-30,70,63,89,38
161,Nisha Desai,nisha.desai161@gmail.com,2026-02-16,69,74,78,79
162,Aarav Mehta,aarav.mehta162@gmail.com,2026-05-25,86,43,53,38
163,Aditya Trivedi,aditya.trivedi163@gmail.com,2026-04-07,88,93,78,55
164,Diya Desai,diya.desai164@outlook.com,2026-03-25,45,41,54,55
165,Nisha Patel,nisha.patel165@outlook.com,2026-01-21,69,91,89,97
166,Nisha Parikh,nisha.parikh166@yahoo.com,2026-03-11,62,100,49,79
167,Priya Shah,priya.shah167@yahoo.com,2026-05-05,74,40,63,85
168,Nisha Patel,nisha.patel168@gmail.com,2026-02-22,73,62,52,67
169,Dev Joshi,dev.joshi169@gmail.com,2026-01-02,98,90,57,51
170,Isha Trivedi,isha.trivedi170@outlook.com,2026-02-28,99,80,44,85
