rank,roll,name,email,enrolled,exam1,exam2,exam3,exam4,total,average,status
1,64,Riya Trivedi,riya.trivedi64@outlook.com,2026-03-23,91,99,89,92,371,92.75,PASS
2,149,Sneha Shah,sneha.shah149@outlook.com,2026-01-17,95,92,81,100,368,92.0,PASS
3,26,Priya Choksi,priya.choksi26@gmail.com,2026-01-25,90,80,89,87,346,86.5,PASS
4,165,Nisha Patel,nisha.patel165@outlook.com,2026-01-21,69,91,89,97,346,86.5,PASS
5,97,Nisha Rao,nisha.rao97@outlook.com,2026-02-27,83,92,91,73,339,84.75,PASS
6,114,Riya Shah,riya.shah114@outlook.com,2026-02-09,98,72,100,69,339,84.75,PASS
7,58,Karan Modi,karan.modi58@outlook.com,2026-03-24,94,91,91,62,338,84.5,PASS
8,55,Ananya Rao,ananya.rao55@yahoo.com,2026-02-01,73,99,74,87,333,83.25,PASS
9,154,Arjun Trivedi,arjun.trivedi154@outlook.com,2026-02-25,90,92,64,87,333,83.25,PASS
10,153,Isha Rao,isha.rao153@outlook.com,2026-03-17,93,99,90,47,329,82.25,PASS
11,192,Neel Trivedi,neel.trivedi192@gmail.com,2026-03-21,95,59,82,91,327,81.75,PASS
12,30,Aditya Choksi,aditya.choksi30@gmail.com,2026-04-15,97,,62,86,245,81.67,PASS
13,151,Aarav Patel,aarav.patel151@yahoo.com,2026-04-13,89,48,97,91,325,81.25,PASS
14,61,Vivaan Choksi,vivaan.choksi61@yahoo.com,2026-01-19,93,88,59,84,324,81.0,PASS
15,181,Riya Rao,riya.rao181@outlook.com,2026-02-18,76,95,99,54,324,81.0,PASS
16,129,Riya Joshi,riya.joshi129@outlook.com,2026-03-18,89,67,93,73,322,80.5,PASS
17,87,Priya Parikh,priya.parikh87@outlook.com,2026-03-03,95,97,92,37,321,80.25,PASS
18,13,Kavya Trivedi,kavya.trivedi13@yahoo.com,2026-05-30,89,86,81,63,319,79.75,PASS
19,89,Kavya Trivedi,kavya.trivedi89@yahoo.com,2026-04-19,77,80,93,69,319,79.75,PASS
20,191,Riya Patel,riya.patel191@yahoo.com,2026-04-04,65,91,71,92,319,79.75,PASS
21,88,Aditya Desai,aditya.desai88@gmail.com,2026-04-14,66,74,82,95,317,79.25,PASS
22,108,Ananya Joshi,ananya.joshi108@outlook.com,2026-01-27,55,77,87,98,317,79.25,PASS
23,141,Neel Trivedi,neel.trivedi141@gmail.com,2026-04-10,93,82,88,54,317,79.25,PASS
24,180,Dev Shah,dev.shah180@outlook.com,2026-01-24,99,84,94,40,317,79.25,PASS
25,31,Vivaan Mehta,vivaan.mehta31@yahoo.com,2026-01-01,84,68,93,71,316,79.0,PASS
26,117,Sneha Desai,sneha.desai117@gmail.com,2026-03-14,73,97,54,92,316,79.0,PASS
27,187,Ananya Mehta,ananya.mehta187@outlook.com,2026-05-15,46,89,100,81,316,79.0,PASS
28,71,Priya Parikh,priya.parikh71@gmail.com,2026-04-10,78,86,56,94,314,78.5,PASS
